[Wed May 03 15:59:43.063506 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61605] PHP Notice:  Array to string conversion in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 141, referer: http://faculty.com/admin/index.php
[Wed May 03 16:00:18.025388 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61622] PHP Notice:  Array to string conversion in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 141, referer: http://faculty.com/admin/index.php
[Wed May 03 16:00:18.025388 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61622] PHP Notice:  Array to string conversion in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 141, referer: http://faculty.com/admin/index.php
[Wed May 03 16:00:18.025890 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61622] PHP Notice:  Array to string conversion in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 141, referer: http://faculty.com/admin/index.php
[Wed May 03 16:00:33.391863 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61632] PHP Notice:  Array to string conversion in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 141, referer: http://faculty.com/admin/index.php
[Wed May 03 16:00:33.391863 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61632] PHP Notice:  Array to string conversion in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 141, referer: http://faculty.com/admin/index.php
[Wed May 03 16:00:33.391863 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61632] PHP Notice:  Array to string conversion in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 141, referer: http://faculty.com/admin/index.php
[Wed May 03 16:00:51.460514 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61644] PHP Notice:  Undefined property: stdClass::$description in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 247, referer: http://faculty.com/admin/index.php
[Wed May 03 16:00:51.460514 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61644] PHP Notice:  Undefined property: stdClass::$description in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 247, referer: http://faculty.com/admin/index.php
[Wed May 03 16:01:51.054048 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:61672] PHP Notice:  Undefined property: stdClass::$description in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 247, referer: http://faculty.com/admin/index.php
